fid,bin,bbl,gr_area,bldg_area,prop_gr,cnstrct_yr,doitt_id,heightroof,feat_code,groundelev,qa,notes,classified,digitized,newlyadded,original_source,address,borough,ownertype,zonedist1,spdist1,bbl_fixed,xcoord,ycoord
121,1001463,1001350011,778.01438,2493.74086,0.31199,1915,832334,67,2100,32,Good,,1,0,0,classification,24 WARREN STREET,MN,,C6-3A,TMU,0,-74.00785,40.71435
122,2118451,2031690002,1482.09563,6076.2541,0.24392,2008,1114653,107.12961,2100,72,Good,,1,1,0,greenroofs.com,2066 MORRIS AVENUE,BX,P,R8,,0,-73.90496,40.85351
123,1087628,1008900025,303.14072,7777.83319,0.03897,1999,996672,217.49,2100,43,Good,at least some green roof,1,0,0,classification,243 LEXINGTON AVENUE,MN,X,C1-9,,0,-73.97904,40.74639
124,5169276,5004870100,2035.98931,4886.66136,0.41664,0,1261144,47.38639,2100,1,Good,,1,1,0,Visual - pre-classification,355 FRONT STREET,SI,C,C4-2A,SW,1,-74.0724,40.62993
125,3413841,3031740147,320.33251,1467.36072,0.21831,2011,1257232,46.2729,2100,46,Good,,0,1,0,greenhomenyc.org,225 TROUTMAN STREET,BK,,R6,,0,-73.92721,40.70239
126,2009239,2028810040,1601.83003,2214.04469,0.72349,2010,1119178,57.78001,2100,26,Good,,1,0,0,classification,1854 CEDAR AVENUE,BX,P,R6,,0,-73.91911,40.85357
127,2015252,2032480022,691.76439,10520.50885,0.06575,1926,333564,60.16,2100,156,Good,,1,0,0,classification,2724 UNIVERSITY AVENUE,BX,,R6,,0,-73.89956,40.86924
128,2115255,2028720189,1198.76623,10996.51102,0.10901,2006,1107501,103.42732,2100,109,Good,,1,0,0,classification,1450 JESUP AVENUE,BX,P,R7-1,,0,-73.91953,40.84215
129,1088910,1008547501,5171.81253,81471.51633,0.06348,1932,1273168,442.41151,2100,36,Good,,1,0,0,classification,11 MADISON AVENUE,MN,,C5-3,,0,-73.98658,40.74159
130,4005003,4004140035,1419.27321,6959.63913,0.20393,2010,1260516,147.14223,2100,12,Good,,1,0,0,classification,41-18 CRESCENT STREET,QN,,M1-5/R7-3,LIC,0,-73.93974,40.75182
